document,source_sha256,section_start,section_end,title,nonblank_lines,status,evidence,evidence_sha256,boundary
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,905,942,7. 下载目录,28,verified_narrow,benchmarks/discovery/DATASET_MANIFEST.json,08ba11deb1d550f1073b8874df0fc0d5220917adf4bfdeff2ad3727551a2cf29,Raw/processed/report paths are explicit and raw archives are not committed.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,943,975,8. 每个 dataset 下载后立即 sanity check,24,verified_narrow,benchmarks/discovery/SANITY_AUDIT.json,77792bb4208a021a1d23f3f32b6af079a14c2f0db007bf92b7011c2fe15390c8,Six native sanity reports and 36 plot hashes were reverified on the fixed sample policy.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,976,1011,9. 标签映射不要强行统一,24,verified_narrow,benchmarks/discovery/GESTURE_ONTOLOGY.md,d159c04e1f41f65db97bd82e8fa0bac3279087a3240042db1877cccd1d2a93ee,Native labels and strict common-label mappings are separated.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,1012,1049,10. Channel topology 也必须记录,27,verified_narrow,benchmarks/discovery/SENSOR_LAYOUTS.md,1597650c761f7e324b8088ec1ce9774c2df5eb1cfcbe35b81572f61ef723de39,Known channel topology and unknown geometry are recorded without fabricating rings.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,1050,1071,11. 最终不要凭感觉决定“最好”,17,partial,benchmarks/discovery/SCORE_REVIEW.md,be4349343212f9a766d6130531851c276aed4f560a4a8ec3b12d5f429b12630a,A-H comparisons are evidence bounded; exact historical DS2 still prevents a complete final ranking.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,1072,1107,12. 最终最重要的原则,23,partial,benchmarks/discovery/BENCHMARK_SELECTION_REPORT.md,0e8b8fb9fb2d654dc53edf8179c6cc0531ca77ede65b18ab7281e6b869d52f03,"The selected suite covers complementary failures, with explicit confounds and unsupported axes."
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,1108,1133,13. 本阶段完成标准,20,partial,benchmarks/discovery/DISCOVERY_DELIVERY_AUDIT.json,d92f7fa03e8b1f74f5429ef76e9af7e349d2bbc4a922ce00bb22973dce1d16e1,Required discovery artifacts are present and hashed; historical DS2 identity and original phase ordering remain unproven.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1,5,你现在要在现有 EMG/IMU Human-in-the-loop 项目上开展一轮新的“Feature Bank + Personal Calibration”系统性实验。,3,context,feature_bank/REPORT.md,07c49c6f0c936f9e67b27cdc38931cd51cf37cf1fc7423667faf055cfd911931,Experiment objective preamble; assessed by the following sections.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,6,47,一、研究目标,30,partial,feature_bank/REPORT.md,07c49c6f0c936f9e67b27cdc38931cd51cf37cf1fc7423667faf055cfd911931,The report answers the research questions with negative as well as positive results; exact historical-family evidence is incomplete.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,48,89,二、核心评价思想,26,verified_narrow,feature_bank/delivery/conditional_incremental.csv,f6676e506461fc7d625e4a8b953a0ddebe77d55945f960cc0448afa3cb0da97d,Held-out delta loss/F1/Brier proxies are delivered; they are not direct conditional mutual-information estimates.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,90,132,三、首先做数据与实验能力审计,31,verified_narrow,feature_bank/EXPERIMENT_CAPABILITIES.md,f211f30af4305a927595023a60735e47585957f0a32204ad78bc51687e388f87,Native capabilities and N/A boundaries are explicit; a later single-participant own-device exploratory study does not meet formal acceptance.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,133,175,四、冻结 baseline 和 split,30,partial,feature_bank/REPRODUCIBILITY_METADATA_AUDIT.json,9c17708d2d85f0c1812e3e1fcca8a65a8107730552965c4c7789f77bdf2b342e,Current runs preserve splits/config/state; exact old DS2/X1-H/RLCS/CES/Frequency artifacts cannot be frozen because they were not recovered.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,176,446,五、本轮 Feature Bank 家族,182,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,F0-F9 APIs and candidate formulas are audited; several historical identities and native calibrated-body evidence remain unavailable.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,447,533,六、Personal Calibration v0,58,partial,feature_bank/results/calibration_burden_audit.json,ebce06cbe8ecb86147642f216938e19fc9290d31516ae43e1e207ca4b20e2771,Personal calibration and supported budgets are evaluated across native tasks; unsupported budgets and own-device validation remain explicit.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,534,581,七、校准后的简单融合,32,verified_narrow,feature_bank/results/calibration_burden_audit.json,ebce06cbe8ecb86147642f216938e19fc9290d31516ae43e1e207ca4b20e2771,"Independent calibrated providers, source OOF temperatures, reliability shrinkage and late fusion have native evidence; no universal gain is claimed."
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,582,740,八、Feature screening：不要跑 2^N,109,partial,feature_bank/STAGE3_4_CLAUSE_AUDIT.json,d68554a6ea7e75ea588e19dd04eef3b74e30596cc6668c5d2c9421f83e751803,"Finite staged screening, complementarity and selected interactions are delivered; exact historical named pairs remain unavailable."
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,741,766,九、Feature family 最终角色分类,17,partial,feature_bank/REPORT.md,07c49c6f0c936f9e67b27cdc38931cd51cf37cf1fc7423667faf055cfd911931,Family roles are interpreted per failure/calibration; exact historical families prevent a final universal taxonomy.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,767,799,十、评价指标,24,verified_narrow,feature_bank/delivery/feature_family_results.csv,87ee6b7c882a6c4b9e487dab8d6b491c3ed0973904a9cce87ffcc08b7f7a590f,Requested classification and calibration metrics are present where supported; confidence intervals are not available for every legacy run.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,800,836,十一、系统级评价：Robustness Vector,25,partial,feature_bank/results/full_system_robustness_vector.csv,80fabe04d846d78a6d0f28d797b4dec5dfaa8383a85ff2149d5f94779cbb6657,Seven available axes report mean and minimum boundaries; own-device real-noise and unavailable native axes remain N/A.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,837,863,十二、Calibration burden,19,verified_narrow,feature_bank/results/calibration_burden.csv,5cba13c390159d56dfaef8682fef5cf1dbbcb5a7d0bc6a030a8db28b52043a0f,0/1/2/5-shot costs and unsupported budgets are recorded without pooling incompatible protocols.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,864,893,十三、必须防止的错误,19,verified_narrow,feature_bank/results/validation.json,e785104d3f0f82bef1f9f0aec35bd617ba453f7b75882a5ceda38b40d3ce4003,Leakage-sensitive tests and split/hash audits pass; tests cannot prove historical execution order or hardware accuracy.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,894,932,十四、推荐执行顺序,27,partial,feature_bank/REPORT.md,07c49c6f0c936f9e67b27cdc38931cd51cf37cf1fc7423667faf055cfd911931,"All phases have current evidence, but retrospective recovery cannot prove the original chronological order."
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,933,1012,十五、输出文件,60,partial,feature_bank/delivery/SCHEMA_AUDIT.json,fafec8ea142a3ef535f151122d33e5eb8922855a19dd1b8dce932346e45c7376,All named files exist and canonical rows preserve sources; schema is complete with explicit evidence N/A fields.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1013,1051,十六、本轮最重要的科研问题,27,partial,feature_bank/REPORT.md,07c49c6f0c936f9e67b27cdc38931cd51cf37cf1fc7423667faf055cfd911931,A-H questions have evidence-bounded answers; real-device and historical-family gaps constrain conclusions.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1052,1073,十七、当前先验，不要擅自改写,17,partial,feature_bank/REPORT.md,07c49c6f0c936f9e67b27cdc38931cd51cf37cf1fc7423667faf055cfd911931,Prior claims are retained as historical statements and separated from current reference evidence.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1074,1109,十八、工程要求,29,partial,feature_bank/ENGINEERING_CLAUSE_AUDIT.csv,3a8082a937cc4638ed5207af1a0622033bcbee7a4ef122a05eeee4cf543889c6,Engineering clauses have focused evidence; full scientific acceptance is assessed separately.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1110,1273,五、Feature Bank：精确定义与计算方式,117,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1274,1313,F2a. Trace-normalized covariance,27,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1314,1364,F2b. CSP-like spatial feature,34,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1365,1400,F2c. SPD / Riemannian tangent feature,24,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1401,1404,F3. Ring Geometry / Wearing,3,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1405,1443,F3a. RLCS,26,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1444,1479,F3b. CES,21,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1480,1534,F3c. Ring-relative covariance,39,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1535,1550,F4. Spectral State,10,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1551,1590,F4a. Frequency coordination,25,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1591,1625,F4b. Spectral summary,22,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1626,1662,F4c. Cepstral / CCA-like candidate,24,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1663,1696,F4d. Personal/session-relative spectral shift,23,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1697,1704,F5. Temporal Form,5,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1705,1776,F5a. Existing G5,45,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1777,1825,F5b. DTW / template distance,36,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1826,1860,F5c. Low-order path signature（可选）,22,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1861,1866,F6. Body Context / IMU,4,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1867,1922,F6a. IMU body-frame context,37,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1923,1940,F6b. Public dataset posture context,11,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1941,1967,F7. Personal Anchor Coordinates,16,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1968,1974,普通 Euclidean family,5,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1975,1984,Standardized Euclidean,7,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1985,1992,Cosine,6,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,1993,2004,Shrinkage Mahalanobis（样本足够时）,9,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2005,2046,SPD feature,30,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2047,2139,F8. Session Signature,65,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2140,2145,F9. Quality / Observability,4,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2146,2168,F9a. Missing / zero / flatline,15,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2169,2184,F9b. Clipping,12,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2185,2204,F9c. Line-noise ratio,14,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2205,2223,F9d. Low-frequency artifact,14,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2224,2243,F9e. Abnormal channel amplitude,14,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2244,2270,F9f. Correlation/covariance anomaly,15,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
docx_goal.txt,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,2271,2300,F9g. Quality mask,20,partial,feature_bank/FORMULA_IMPLEMENTATION_AUDIT.json,0dfd9e1b26ddbafa0a15620c273a071b8a68e36c2791dcc9503f65a6b4d356fe,Formula/API boundary and dimensions are reviewed; candidate/reference status is distinct from recovered historical equivalence and native validation.
